"doc_id","text"
msmarco_passage_38_572269596,How to Get a Liquor License in Arizona.
msmarco_passage_57_76069808,The phrase 'The last straw' - meaning and origin.
msmarco_passage_54_127232652,"Safety Alert: Computer use can be monitored and it is impossible to completely clear your browser history. If you are afraid your internet usage might be monitored, call the National Domestic Violence Hotline at 800-799-7233 or 800-787-3224 en Español. The Family Advocacy Program, or FAP, is the Department of Defense program designated to address domestic abuse, child abuse and neglect, and problematic sexual behavior in children and youth."
msmarco_passage_61_32186467,"Nike Air Jordan 1 Design Review: Shoe Edges. August 22, 2015."
msmarco_passage_24_324825917,"And this is regardless of which one you want to focus on (BSL, ASL, Auslan, etc.). So with the help of my experiences, plus from learning through other people, below are the benefits of learning sign languages for hearing people. Click on the link below to jump to a particular section of the page:"
msmarco_passage_46_69106902,"C2-1.1-02, Pricing, Fees, and Pricing Adjustments (10/02/2019) Toggle navigation."
msmarco_passage_43_100987402,Who is Theresa Caputo Dating Now - Boyfriends & Biography (2021)
msmarco_passage_17_683146204,"2019–20 Eastern Michigan Eagles men's basketball team - Wikipedia."
msmarco_passage_43_116446093,"There must always be one caregiver for every two children who are younger than 2 years old. Group Family Day Care. Group family day care programs may have up to 12 children, ages 6 weeks to 12 years old, plus four additional school-age children."
msmarco_passage_28_361946915,Premier Family Medicine Associates - Pomona Valley Health Centers.
msmarco_passage_33_186512031,"Current Petaluma, California Population, Demographics and stats in 2020, 2019."
msmarco_passage_07_152273693,Code History. 2016 (effective 10/1/2015): New code (first year of non-draft ICD-10-CM) 2017 (effective 10/1/2016): No change. 2018 (effective 10/1/2017): No change. 2019 (effective 10/1/2018): No change. 2020 (effective 10/1/2019): No change. 2021 (effective 10/1/2020): No change.
msmarco_passage_41_369160743,"50,000 miles. 3,168,000,000 inches. 75,000 miles. 4,752,000,000 inches. 100,000 miles. 6,336,000,000 inches. 250,000 miles. 15,840,000,000 inches. 
."
msmarco_passage_68_758468660,"Zip Code 94582 Profile, Map and Demographics - Updated May 2021."
msmarco_passage_57_170664257,"HTML. <a href=""https://www.planetminecraft.com/texture-pack/plastic-texture-pack-1-16-3/"" title=""Plastic Texture Pack (1.16.4-21w03a) Minecraft Texture Pack""><br /><img src=""https://static.planetminecraft.com/files/image/minecraft/texture-pack/2020/136/13675114_l.jpg"" alt=""Plastic Texture Pack (1.16.4-21w03a)"" border=""0""/><br/>Plastic Texture Pack (1.16.4-21w03a)</a> by <a href=""https://www.planetminecraft.com/member/snowyboi64/"" title=""SnowyBoi64 Profile"">SnowyBoi64</a>."
msmarco_passage_68_751921759,"Zip Code 30304 Profile, Map and Demographics - Updated May 2021."
msmarco_passage_14_709543483,Chase Embry Age: 10 Facts On Lara Embry Daughter.
msmarco_passage_41_681942005,Tampa International Airport (TPA) Tampa International Airport is located approximately 3.4 miles / 5.4 kilometers southwest of Egypt Lake-Leto and about 3.6 miles / 5.8 kilometers southeast of Town 'n' Country. IATA airport code is TPA.
