"query_id","doc_id","relevance","iteration","personal_score"
112700,msmarco_passage_01_33071611,0,0,1
2002798,msmarco_passage_07_626959932,1,0,1
2037251,msmarco_passage_20_154332540,3,0,2
2012431,msmarco_passage_07_796115535,3,0,1
596569,msmarco_passage_13_472919920,3,0,2
2033470,msmarco_passage_10_222802943,1,0,2
2027130,msmarco_passage_29_251665665,3,0,3
2027130,msmarco_passage_43_116464227,1,0,3
2027130,msmarco_passage_05_547307441,3,0,2
2034676,msmarco_passage_38_195281235,2,0,1
1111577,msmarco_passage_30_131200137,3,0,3
596569,msmarco_passage_09_769269682,3,0,3
596569,msmarco_passage_26_505136105,3,0,3
596569,msmarco_passage_06_80405582,3,0,3
2039908,msmarco_passage_31_308708775,3,0,2
2013306,msmarco_passage_33_645667341,2,0,0
2013306,msmarco_passage_42_59675803,2,0,0
2013306,msmarco_passage_26_675688350,2,0,0
2013306,msmarco_passage_25_343910276,2,0,0
2013306,msmarco_passage_49_66464484,2,0,0
2013306,msmarco_passage_36_56224328,2,0,0
2013306,msmarco_passage_68_752120615,2,0,0
2013306,msmarco_passage_43_100987402,2,0,0
2013306,msmarco_passage_22_594816920,2,0,0
2013306,msmarco_passage_25_308852826,2,0,0
2013306,msmarco_passage_25_325286414,2,0,0
2013306,msmarco_passage_57_170414700,2,0,0
2013306,msmarco_passage_59_291073626,2,0,0
2013306,msmarco_passage_32_847481872,2,0,0
2013306,msmarco_passage_47_603178953,3,0,0
2013306,msmarco_passage_64_552275770,2,0,0
2013306,msmarco_passage_64_780890801,2,0,0
2013306,msmarco_passage_35_345554589,2,0,0
2013306,msmarco_passage_44_664814301,2,0,0
2013306,msmarco_passage_02_644690245,2,0,0
2013306,msmarco_passage_07_8815035,2,0,0
2013306,msmarco_passage_42_453452112,2,0,0
2013306,msmarco_passage_36_683980548,2,0,0
2013306,msmarco_passage_53_56463321,2,0,0
2013306,msmarco_passage_60_353242627,2,0,0
2013306,msmarco_passage_68_754877145,2,0,0
2002533,msmarco_passage_25_156757060,0,0,0
2037924,msmarco_passage_48_789501170,3,0,3
2037609,msmarco_passage_41_124783081,0,0,0
2027497,msmarco_passage_30_227943796,1,0,1
2037609,msmarco_passage_68_841786471,0,0,0
2037609,msmarco_passage_68_117360500,0,0,0
2037609,msmarco_passage_68_784986199,0,0,0
2035447,msmarco_passage_12_797990591,0,0,0
2037609,msmarco_passage_46_178352083,0,0,0
2035447,msmarco_passage_33_585908511,2,0,3
1117243,msmarco_passage_23_342467942,1,0,2
421946,msmarco_passage_48_124892275,3,0,3
2026558,msmarco_passage_33_187915925,0,0,0
300986,msmarco_passage_60_597359053,2,0,1
2005861,msmarco_passage_06_209912086,3,0,1
1104447,msmarco_passage_37_769927418,3,0,3
629937,msmarco_passage_64_656969348,0,0,1
2031726,msmarco_passage_68_294129878,1,0,0
2031726,msmarco_passage_02_303692573,1,0,0
2031726,msmarco_passage_66_781008097,1,0,0
2031726,msmarco_passage_64_781803447,1,0,0
2031726,msmarco_passage_23_358479528,1,0,0
2031726,msmarco_passage_64_780575762,1,0,0
2031726,msmarco_passage_11_205108581,1,0,0
2031726,msmarco_passage_23_599189173,1,0,0
2031726,msmarco_passage_13_58995273,1,0,0
2031726,msmarco_passage_28_627976972,1,0,0
2031726,msmarco_passage_42_27988613,1,0,0
2031726,msmarco_passage_60_608672582,1,0,0
2031726,msmarco_passage_42_408151768,1,0,0
2030323,msmarco_passage_47_261368133,3,0,3
2029260,msmarco_passage_12_375243235,3,0,1
2006375,msmarco_passage_39_136537431,0,0,0
2006375,msmarco_passage_67_261361246,3,0,2
2006375,msmarco_passage_13_678332265,0,0,0
2006375,msmarco_passage_50_347763056,0,0,0
2006375,msmarco_passage_50_348031521,0,0,0
2006375,msmarco_passage_00_196001688,0,0,0
2006375,msmarco_passage_12_733593218,0,0,0
1113361,msmarco_passage_30_632425496,3,0,2
1121909,msmarco_passage_40_62090285,1,0,3
1113361,msmarco_passage_14_109599007,3,0,3
2032949,msmarco_passage_14_386600216,3,0,2
2000719,msmarco_passage_54_153316433,0,0,0
2000719,msmarco_passage_31_322913658,3,0,2
2000719,msmarco_passage_48_67431924,0,0,0
2025747,msmarco_passage_25_345030381,0,0,1
2025747,msmarco_passage_25_313520494,0,0,1
2025747,msmarco_passage_48_466050052,0,0,0
2025747,msmarco_passage_04_264732714,0,0,0
2025747,msmarco_passage_39_46205467,0,0,0
2025747,msmarco_passage_50_67237952,1,0,1
2025747,msmarco_passage_25_305918022,0,0,1
2036182,msmarco_passage_43_175969940,0,0,0
2030608,msmarco_passage_40_184511595,3,0,3
168329,msmarco_passage_58_519406230,1,0,2
112700,msmarco_passage_18_757019055,1,0,1
493490,msmarco_passage_61_777208594,3,0,3
493490,msmarco_passage_13_626475411,3,0,3
30611,msmarco_passage_04_287901958,3,0,2
30611,msmarco_passage_41_263863504,3,0,2
1117243,msmarco_passage_12_206387565,1,0,2
421946,msmarco_passage_41_297169600,3,0,2
2029260,msmarco_passage_37_567540019,0,0,2
2038466,msmarco_passage_26_604835674,1,0,2
2038466,msmarco_passage_26_588529142,1,0,1
2033470,msmarco_passage_45_398687782,3,0,0
2033470,msmarco_passage_28_297827136,0,0,1
2045272,msmarco_passage_68_828558059,1,0,1
2082,msmarco_passage_65_397444052,3,0,3
2001975,msmarco_passage_57_475918160,0,0,0
2001975,msmarco_passage_29_569615107,3,0,3
596569,msmarco_passage_62_810494397,3,0,3
2032090,msmarco_passage_35_153482315,1,0,1
2039908,msmarco_passage_07_68842350,3,0,3
2039908,msmarco_passage_14_554166012,3,0,3
2013306,msmarco_passage_22_355252925,2,0,0
2013306,msmarco_passage_25_232615646,2,0,0
2013306,msmarco_passage_22_401513550,2,0,0
2013306,msmarco_passage_20_147622143,2,0,0
2013306,msmarco_passage_17_683146204,2,0,0
2013306,msmarco_passage_44_173117059,2,0,0
2013306,msmarco_passage_38_841712467,2,0,0
2013306,msmarco_passage_14_299533306,2,0,0
2013306,msmarco_passage_59_527443738,2,0,0
2013306,msmarco_passage_57_135613631,2,0,0
2013306,msmarco_passage_48_646807029,2,0,0
2013306,msmarco_passage_56_165279232,2,0,0
2013306,msmarco_passage_39_562890970,2,0,0
2013306,msmarco_passage_31_686213212,2,0,0
2013306,msmarco_passage_26_51510981,2,0,0
2027497,msmarco_passage_68_31374203,2,0,3
2037609,msmarco_passage_68_750160863,0,0,0
2037609,msmarco_passage_34_743887848,0,0,0
2037609,msmarco_passage_41_79243186,0,0,0
2005810,msmarco_passage_03_703938723,1,0,3
2026558,msmarco_passage_55_757768516,0,0,0
2026558,msmarco_passage_68_748909795,0,0,0
2005861,msmarco_passage_17_655129602,0,0,0
1104447,msmarco_passage_22_471901875,3,0,2
2028378,msmarco_passage_16_93843618,3,0,2
629937,msmarco_passage_53_430854121,3,0,3
2038890,msmarco_passage_50_261754093,3,0,3
2031726,msmarco_passage_14_699215060,1,0,0
2031726,msmarco_passage_10_596396916,1,0,0
2031726,msmarco_passage_54_215376360,1,0,0
2031726,msmarco_passage_32_466370259,1,0,0
2031726,msmarco_passage_65_140266034,1,0,0
2031726,msmarco_passage_44_56061789,1,0,0
2031726,msmarco_passage_33_187186404,1,0,0
2031726,msmarco_passage_35_832165366,1,0,0
2031726,msmarco_passage_63_176879676,1,0,0
2031726,msmarco_passage_15_628967603,1,0,0
2031726,msmarco_passage_47_492652646,1,0,0
2031726,msmarco_passage_64_807161326,1,0,0
2031726,msmarco_passage_26_13691321,1,0,0
2031726,msmarco_passage_02_133359064,1,0,0
2031726,msmarco_passage_50_377871177,1,0,0
2031726,msmarco_passage_61_157743284,1,0,0
2031726,msmarco_passage_45_702142,1,0,0
2031726,msmarco_passage_27_74220235,1,0,0
2031726,msmarco_passage_61_734491923,1,0,0
2031726,msmarco_passage_12_817330962,1,0,0
2031726,msmarco_passage_68_266371007,1,0,0
2031726,msmarco_passage_49_159537606,1,0,0
2031726,msmarco_passage_23_367188900,1,0,0
2031726,msmarco_passage_09_541381099,1,0,0
2031726,msmarco_passage_25_283635989,1,0,0
2031726,msmarco_passage_65_326867149,1,0,0
2031726,msmarco_passage_50_341870031,1,0,0
2030323,msmarco_passage_26_477440013,3,0,3
2030323,msmarco_passage_08_847428897,3,0,3
2029260,msmarco_passage_33_757998835,3,0,1
2029260,msmarco_passage_62_483932147,0,0,0
