"query_id","text","dataset_id"
"156493",do goldfish grow,trec-dl-2019
"1110199",what is wifi vs bluetooth,trec-dl-2019
"1063750",why did the us volunterilay enter ww1,trec-dl-2019
"130510",definition declaratory judgment,trec-dl-2019
"489204",right pelvic pain causes,trec-dl-2019
"573724",what are the social determinants of health,trec-dl-2019
"1133167",how is the weather in jamaica,trec-dl-2019
"527433",types of dysarthria from cerebral palsy,trec-dl-2019
"1037798",who is robert gray,trec-dl-2019
"915593",what types of food can you cook sous vide,trec-dl-2019
"264014",how long is life cycle of flea,trec-dl-2019
"1121402",what can contour plowing reduce,trec-dl-2019
"962179",when was the salvation army founded,trec-dl-2019
"1117099",what is a active margin,trec-dl-2019
"148538",difference between rn and bsn,trec-dl-2019
"451602",medicare's definition of mechanical ventilation,trec-dl-2019
"359349",how to find the midsegment of a trapezoid,trec-dl-2019
"1115776",what is an aml surveillance analyst,trec-dl-2019
"1112341",what is the daily life of thai people,trec-dl-2019
"131843",definition of a sigmet,trec-dl-2019
"104861",cost of interior concrete flooring,trec-dl-2019
"833860",what is the most popular food in switzerland,trec-dl-2019
"207786",how are some sharks warm blooded,trec-dl-2019
"1132213",how long to hold bow in yoga,trec-dl-2019
"1114819",what is durable medical equipment consist of,trec-dl-2019
"183378",exons definition biology,trec-dl-2019
"1106007",define visceral?,trec-dl-2019
"1124210",tracheids are part of _____.,trec-dl-2019
"287683",how many liberty ships were built in brunswick,trec-dl-2019
"490595",rsa definition key,trec-dl-2019
"1103812",who formed the commonwealth of independent states,trec-dl-2019
"87181",causes of left ventricular hypertrophy,trec-dl-2019
"443396",lps laws definition,trec-dl-2019
"87452",causes of military suicide,trec-dl-2019
"855410",what is theraderm used for,trec-dl-2019
"1114646",what is famvir prescribed for,trec-dl-2019
"19335",anthropological definition of environment,trec-dl-2019
"47923",axon terminals or synaptic knob definition,trec-dl-2019
"405717",is cdg airport in main paris,trec-dl-2019
"182539",example of monotonic function,trec-dl-2019
"1113437",what is physical description of spruce,trec-dl-2019
"1129237",hydrogen is a liquid below what temperature,trec-dl-2019
"146187",difference between a mcdouble and a double cheeseburger,trec-dl-2019
"1030303",who is aziz hashim,trec-dl-2020
"1037496",who is rep scalise?,trec-dl-2020
"1043135",who killed nicholas ii of russia,trec-dl-2020
"1049519",who said no one can make you feel inferior,trec-dl-2020
"1051399",who sings monk theme song,trec-dl-2020
"1056416",who was the highest career passer  rating in the nfl,trec-dl-2020
"1064670",why do hunters pattern their shotguns?,trec-dl-2020
"1071750",why is pete rose banned from hall of fame,trec-dl-2020
"1103153",who is thomas m cooley,trec-dl-2020
"1105792",define: geon,trec-dl-2020
"1108729",what temperature and humidity to dry sausage,trec-dl-2020
"1109707",what medium do radio waves travel through,trec-dl-2020
"1113256",what is reba mcentire's net worth,trec-dl-2020
"1115210",what is chaff and flare,trec-dl-2020
"1116380",what is a nonconformity? earth science,trec-dl-2020
"1119543",what does a psychological screening consist of for egg donors,trec-dl-2020
"1122767",what amino produces carnitine,trec-dl-2020
"1127540",meaning of shebang,trec-dl-2020
"1131069",how many sons robert kraft has,trec-dl-2020
"1132532",average annual income data analyst,trec-dl-2020
"1136043",difference between a hotel and motel,trec-dl-2020
"1136047",difference between a company's strategy and business model is,trec-dl-2020
"1136769",why does lacquered brass tarnish,trec-dl-2020
"1136962","why did the ancient egyptians call their land kemet, or black land?",trec-dl-2020
"135802",definition of laudable,trec-dl-2020
"156498",do google docs auto save,trec-dl-2020
"169208",does mississippi have an income tax,trec-dl-2020
"174463",dog day afternoon meaning,trec-dl-2020
"258062",how long does it take to remove wisdom tooth,trec-dl-2020
"324585",how much money do motivational speakers make,trec-dl-2020
"330975",how much would it cost to install my own wind turbine,trec-dl-2020
"332593",how often to button quail lay eggs,trec-dl-2020
"336901",how old is vanessa redgrave,trec-dl-2020
"42255",average salary for dental hygienist in nebraska,trec-dl-2020
"47210",average wedding dress alteration cost,trec-dl-2020
"67316",can fever cause miscarriage early pregnancy,trec-dl-2020
"673670",what is a alm,trec-dl-2020
"701453",what is a statutory deed,trec-dl-2020
"730539",what is chronometer who invented it,trec-dl-2020
"768208",what is mamey,trec-dl-2020
"877809",what metal are hip replacements made of,trec-dl-2020
"911232","what type of conflict does della face in o, henry the gift of the magi",trec-dl-2020
"938400",when did family feud come out?,trec-dl-2020
"940547",when did rock n roll begin?,trec-dl-2020
"997622",where is the show shameless filmed,trec-dl-2020
"2082",At about what age do adults normally begin to lose bone mass?,trec-dl-2021
"540006",was friedrich nietzsche an atheist,trec-dl-2021
"23287",are landlords liable if someone breaks in a hurts tenant,trec-dl-2021
"300025",how many whales are caught in fishing nets off california,trec-dl-2021
"300986",how many years in jail for money laundering,trec-dl-2021
"832573",what is the methylmalon a. c test,trec-dl-2021
"835760",what is the name of the triangular region at the base of the bladder?,trec-dl-2021
"1103547",who is jaffe?,trec-dl-2021
