"doc_id","text"
"7088039","Thailand: Banks &amp; Money. The official currency of Thailand is the Thai BAHT (Pronounced: baaht - International currency code: THB). One baht is divided into 100 satang. Coins come in denominations of: 1, 2, 5 and 10 baht, as well as 25 and 50 satang."
"6501719","LIFE CYCLE. Unlike most fleas, adult cat fleas remain on the host where feeding, mating, and egg laying occur. Females lay about 20 to 50 eggs per day. Cat flea eggs are pearly white, oval, and about 1/32 inch long (Figure 3)."
"1509942","Social Determinants of Health. The World Health Organisation (WHO) defines the social determinants of health as the conditions in which people are born, grow, live, work and age. These circumstances are shaped by the distribution of money, power and resources at global, national and local levels."
"8022281","dmepos - Durable Medical Equipment, Prosthetic, Orthotic and Supply dme mac - durable medical equipment medicare administrative contractor DMEPOS - Durable Medical Equipment Prosthetic, Orthotics & Supplies"
"3543021","Since 1901 Tasmania has been a state of the Commonwealth of Australia, and the Australian Constitution regulates its relationship with the Commonwealth.Under the Australian Constitution, Tasmania ceded certain legislative and judicial powers to the Commonwealth, but retained complete independence in all other areas.ince 1901 Tasmania has been a state of the Commonwealth of Australia, and the Australian Constitution regulates its relationship with the Commonwealth."
"913042","An axon terminal is the structure of a neuron (a single cell of the central or peripheral nervous system) at the end of it's axon that forms a synapse with another neuron. Geâ¦nerally, the axon terminal is the point at which a neuron passes information to the neurons with which it is connected."
"7992473","Spiritual health Spiritual Health is one of four dimensions to well-being as defined by the World Health Organization (WHO), which include physical, social, and mental."
"2259180","Get a large enough tank. The minimum tank size for one goldfish is 10-15 US gallons (56.7 liters)(Remember, they grow to about 10-12 inches (25.5-30.5 centimeters), and sometimes over!) and you will need to add 10 U.S. gallons (37.8 liters) onto that for each additional goldfish. Do your research about all different kinds of goldfish."
"3015665","3. Cold sores arenât associated with genital herpes. Fact: Cold sores are caused by herpes simplex virus type 1. If you have oral-genital sex with someone who has a cold sore, this virus can give you genital herpes.The likelihood of this is particularly high during a primary outbreak.. Cold sores arenât associated with genital herpes. Fact: Cold sores are caused by herpes simplex virus type 1. If you have oral-genital sex with someone who has a cold sore, this virus can give you genital herpes."
"8724362","The paste is then put into smaller containers, and can be topped with raisins and/or coconut. The rice is then served either hot or refrigerated. Popular in Egypt.Moa'amar (Rice with milk and chicken soup) - A sort of rice made by adding milk and chicken soup to the rice and letting it into the oven."
"3905057","Hydrogen is a colorless, odorless, tasteless gas. Its density is the lowest of any chemical element, 0.08999 grams per liter. By comparison, a liter of air weighs 1.29 grams, 14 times as much as a liter of hydrogen. Hydrogen changes from a gas to a liquid at a temperature of -252.77Â°C (-422.99Â°F) and from a liquid to a solid at a temperature of -259.2Â°C (-434.6Â°F). It is slightly soluble in water, alcohol, and a few other common liquids."
"6980697","Salvation Army Stores. The Salvation Army, an evangelical part of the universal Christian church established in 1865, has been supporting those in need in His name without discrimination for 130 years in the United States."
