query_id,text,dataset_id
1110199,what is wifi vs bluetooth,trec-dl-2019
1063750,why did the us volunterilay enter ww1,trec-dl-2019
1133167,how is the weather in jamaica,trec-dl-2019
527433,types of dysarthria from cerebral palsy,trec-dl-2019
915593,what types of food can you cook sous vide,trec-dl-2019
264014,how long is life cycle of flea,trec-dl-2019
1117099,what is a active margin,trec-dl-2019
148538,difference between rn and bsn,trec-dl-2019
451602,medicare's definition of mechanical ventilation,trec-dl-2019
359349,how to find the midsegment of a trapezoid,trec-dl-2019
1115776,what is an aml surveillance analyst,trec-dl-2019
1112341,what is the daily life of thai people,trec-dl-2019
833860,what is the most popular food in switzerland,trec-dl-2019
207786,how are some sharks warm blooded,trec-dl-2019
1132213,how long to hold bow in yoga,trec-dl-2019
1114819,what is durable medical equipment consist of,trec-dl-2019
183378,exons definition biology,trec-dl-2019
1106007,define visceral?,trec-dl-2019
490595,rsa definition key,trec-dl-2019
87181,causes of left ventricular hypertrophy,trec-dl-2019
87452,causes of military suicide,trec-dl-2019
47923,axon terminals or synaptic knob definition,trec-dl-2019
1051399,who sings monk theme song,trec-dl-2020
1064670,why do hunters pattern their shotguns?,trec-dl-2020
1105792,define: geon,trec-dl-2020
1116380,what is a nonconformity? earth science,trec-dl-2020
1122767,what amino produces carnitine,trec-dl-2020
1131069,how many sons robert kraft has,trec-dl-2020
1132532,average annual income data analyst,trec-dl-2020
1136962,"why did the ancient egyptians call their land kemet, or black land?",trec-dl-2020
174463,dog day afternoon meaning,trec-dl-2020
330975,how much would it cost to install my own wind turbine,trec-dl-2020
336901,how old is vanessa redgrave,trec-dl-2020
47210,average wedding dress alteration cost,trec-dl-2020
673670,what is a alm,trec-dl-2020
911232,"what type of conflict does della face in o, henry the gift of the magi",trec-dl-2020
2082,At about what age do adults normally begin to lose bone mass?,trec-dl-2021
540006,was friedrich nietzsche an atheist,trec-dl-2021
23287,are landlords liable if someone breaks in a hurts tenant,trec-dl-2021
300986,how many years in jail for money laundering,trec-dl-2021
832573,what is the methylmalon a. c test,trec-dl-2021
835760,what is the name of the triangular region at the base of the bladder?,trec-dl-2021
1103547,who is jaffe?,trec-dl-2021
1104300,which part of the life cycle is dominant in bryophyte?,trec-dl-2021
1104447,which kind of continental boundary is formed where two plates move horizontally past one another?,trec-dl-2021
1107704,what was the main benefit of a single european currency?,trec-dl-2021
1107821,what was radio free europe?,trec-dl-2021
1110996,what is the role of t tubules,trec-dl-2021
1111577,what is the meaning of the phrase jump on the bandwagon,trec-dl-2021
1113361,what is prior restraint?,trec-dl-2021
1118716,what does karl marx say about the nature of man,trec-dl-2021
596569,what classes do i need to take to go to vet school,trec-dl-2021
1121909,what are the instruments in a woodwind quintet,trec-dl-2021
