"query_id","doc_id","relevance","iteration"
"1111577",msmarco_passage_30_131200137,3,"0"
"629937",msmarco_passage_64_656969348,0,"0"
"2007055",msmarco_passage_24_155821686,1,"0"
"2013306",msmarco_passage_25_308852826,2,"0"
"2025747",msmarco_passage_25_313520494,0,"0"
"2025747",msmarco_passage_48_466050052,0,"0"
"2033470",msmarco_passage_41_681942005,3,"0"
"2031726",msmarco_passage_68_294129878,1,"0"
"1121909",msmarco_passage_40_62090285,1,"0"
"2013306",msmarco_passage_28_453446653,2,"0"
"2055795",msmarco_passage_64_415884307,2,"0"
"2013306",msmarco_passage_43_100987402,2,"0"
"2006375",msmarco_passage_50_347763056,0,"0"
"1113361",msmarco_passage_30_632425496,3,"0"
"421946",msmarco_passage_48_124892275,3,"0"
"2027497",msmarco_passage_30_227943796,1,"0"
"2027130",msmarco_passage_05_547307441,3,"0"
"2036182",msmarco_passage_43_175969940,0,"0"
"2037609",msmarco_passage_03_543113761,0,"0"
"2013306",msmarco_passage_25_325286414,2,"0"
"2031726",msmarco_passage_28_627976972,1,"0"
"2012431",msmarco_passage_07_796115535,3,"0"
"2031726",msmarco_passage_23_358479528,1,"0"
"2006375",msmarco_passage_00_196001688,0,"0"
"2013306",msmarco_passage_68_754877145,2,"0"
"2006375",msmarco_passage_39_136537431,0,"0"
"493490",msmarco_passage_61_777208594,3,"0"
"2013306",msmarco_passage_42_59675803,2,"0"
"2013306",msmarco_passage_32_847481872,2,"0"
"2013306",msmarco_passage_60_353242627,2,"0"
"2037924",msmarco_passage_48_789501170,3,"0"
"2037609",msmarco_passage_41_124783081,0,"0"
"300986",msmarco_passage_60_597359053,2,"0"
"1117243",msmarco_passage_23_342467942,1,"0"
"2006375",msmarco_passage_60_261044805,0,"0"
"2005861",msmarco_passage_06_209912086,3,"0"
"1113361",msmarco_passage_14_109599007,3,"0"
"2033470",msmarco_passage_68_446445911,3,"0"
"2013306",msmarco_passage_64_552275770,2,"0"
"2006375",msmarco_passage_67_261361246,3,"0"
"2032949",msmarco_passage_14_386600216,3,"0"
"2013306",msmarco_passage_07_8815035,2,"0"
"2031726",msmarco_passage_64_780575762,1,"0"
"2031726",msmarco_passage_64_781803447,1,"0"
"2002798",msmarco_passage_07_626959932,1,"0"
"2013306",msmarco_passage_34_369374931,2,"0"
"2013306",msmarco_passage_57_170414700,2,"0"
"2013306",msmarco_passage_25_343910276,2,"0"
"2013306",msmarco_passage_44_664814301,2,"0"
"2026558",msmarco_passage_33_187915925,0,"0"
"2013306",msmarco_passage_42_453452112,2,"0"
"2006375",msmarco_passage_50_348031521,0,"0"
"2013306",msmarco_passage_35_345554589,2,"0"
"2034676",msmarco_passage_38_195281235,2,"0"
"2037609",msmarco_passage_68_841786471,0,"0"
"2025747",msmarco_passage_69_5407953,0,"0"
"2033470",msmarco_passage_10_222802943,1,"0"
"2025747",msmarco_passage_04_264732714,0,"0"
"2013306",msmarco_passage_22_594816920,2,"0"
"2031726",msmarco_passage_42_27988613,1,"0"
"2000719",msmarco_passage_54_153316433,0,"0"
"1104447",msmarco_passage_37_769927418,3,"0"
"2000719",msmarco_passage_48_67431924,0,"0"
"596569",msmarco_passage_06_80405582,3,"0"
"2013306",msmarco_passage_53_56463321,2,"0"
"2025747",msmarco_passage_25_305918022,0,"0"
"2006375",msmarco_passage_12_733593218,0,"0"
"2027130",msmarco_passage_43_116464227,1,"0"
"2039908",msmarco_passage_31_308708775,3,"0"
"596569",msmarco_passage_26_505136105,3,"0"
"493490",msmarco_passage_13_626475411,3,"0"
"2013306",msmarco_passage_64_780890801,2,"0"
"2031726",msmarco_passage_60_608672582,1,"0"
"2030608",msmarco_passage_40_184511595,3,"0"
"2013306",msmarco_passage_59_291073626,2,"0"
